0,5,0.500,3.000,17,33333,100Kbps,64,0,1
1,10,0.500,3.000,17,33333,100Kbps,64,0,1
2,9,0.500,3.000,17,33333,100Kbps,64,0,1
3,8,0.500,3.000,17,33333,100Kbps,64,0,1
4,7,0.500,3.000,17,33333,100Kbps,64,0,1
5,0,0.500,3.000,17,33333,100Kbps,64,0,1
5,6,0.500,3.000,17,33333,100Kbps,64,0,1
5,7,0.500,3.000,17,33333,100Kbps,64,0,1
5,8,0.500,3.000,17,33333,100Kbps,64,0,1
5,9,0.500,3.000,17,33333,100Kbps,64,0,1
5,10,0.500,3.000,17,33333,100Kbps,64,0,1
6,5,0.500,3.000,17,33333,100Kbps,64,0,1
6,7,0.500,3.000,17,33333,100Kbps,64,0,1
6,8,0.500,3.000,17,33333,100Kbps,64,0,1
6,9,0.500,3.000,17,33333,100Kbps,64,0,1
6,10,0.500,3.000,17,33333,100Kbps,64,0,1
7,4,0.500,3.000,17,33333,100Kbps,64,0,1
7,5,0.500,3.000,17,33333,100Kbps,64,0,1
7,6,0.500,3.000,17,33333,100Kbps,64,0,1
7,8,0.500,3.000,17,33333,100Kbps,64,0,1
7,9,0.500,3.000,17,33333,100Kbps,64,0,1
7,10,0.500,3.000,17,33333,100Kbps,64,0,1
8,3,0.500,3.000,17,33333,100Kbps,64,0,1
8,5,0.500,3.000,17,33333,100Kbps,64,0,1
8,6,0.500,3.000,17,33333,100Kbps,64,0,1
8,7,0.500,3.000,17,33333,100Kbps,64,0,1
8,9,0.500,3.000,17,33333,100Kbps,64,0,1
8,10,0.500,3.000,17,33333,100Kbps,64,0,1
9,2,0.500,3.000,17,33333,100Kbps,64,0,1
9,5,0.500,3.000,17,33333,100Kbps,64,0,1
9,6,0.500,3.000,17,33333,100Kbps,64,0,1
9,7,0.500,3.000,17,33333,100Kbps,64,0,1
9,8,0.500,3.000,17,33333,100Kbps,64,0,1
9,10,0.500,3.000,17,33333,100Kbps,64,0,1
10,1,0.500,3.000,17,33333,100Kbps,64,0,1
10,5,0.500,3.000,17,33333,100Kbps,64,0,1
10,6,0.500,3.000,17,33333,100Kbps,64,0,1
10,7,0.500,3.000,17,33333,100Kbps,64,0,1
10,8,0.500,3.000,17,33333,100Kbps,64,0,1
10,9,0.500,3.000,17,33333,100Kbps,64,0,1
2,0,0.750,0.000,6,22222,1Mbps,512,250000,1
8,5,0.750,1.023,17,20002,250Mbps,1400,0,1
9,5,0.750,1.023,17,20000,250Mbps,1400,0,1
10,5,0.750,1.023,17,20001,250Mbps,1400,0,1
